Date,Volume,Value,Open,High,Low,Close,Change,Transaction
2017-05-02,"15,728,364","1,183,549,491",75.0,75.4,75.0,75.2,+0.65,"2,827"
2017-05-03,"4,711,953","355,729,364",75.3,75.65,75.3,75.55,+0.35,"1,708"
2017-05-04,"3,996,825","301,811,102",75.55,75.65,75.35,75.65,+0.10,"1,145"
2017-05-05,"5,287,815","397,880,732",75.45,75.45,75.1,75.15,-0.50,"1,320"
2017-05-08,"4,083,374","308,091,358",75.55,75.7,75.25,75.7,+0.55,"1,054"
2017-05-09,"4,190,236","319,313,121",75.7,76.5,75.7,75.95,+0.25,"1,120"
2017-05-10,"1,763,035","134,244,947",76.15,76.35,76.0,76.25,+0.30,638
2017-05-11,"2,018,313","154,148,338",76.1,76.5,76.0,76.5,+0.25,736
2017-05-12,"2,810,989","214,492,626",76.25,76.5,76.15,76.3,-0.20,539
2017-05-15,"1,285,720","98,284,746",76.3,76.55,76.2,76.5,+0.20,539
2017-05-16,"1,598,332","122,092,507",76.5,76.6,76.25,76.5, 0.00,803
2017-05-17,"1,331,528","101,438,562",76.3,76.4,76.05,76.3,-0.20,476
2017-05-18,"4,271,928","323,392,357",75.65,75.9,75.3,75.9,-0.40,943
2017-05-19,"1,162,847","88,166,922",75.65,75.9,75.65,75.85,-0.05,297
2017-05-22,"2,576,137","195,790,949",75.95,76.15,75.75,76.05,+0.20,761
2017-05-23,"3,844,351","292,887,587",76.05,76.45,76.0,76.35,+0.30,568
2017-05-24,"2,886,268","220,350,338",76.35,76.45,76.25,76.3,-0.05,645
2017-05-25,"4,681,977","360,095,129",76.7,77.0,76.45,77.0,+0.70,"1,568"
2017-05-26,"4,018,329","308,975,447",77.0,77.15,76.75,76.95,-0.05,598
2017-05-31,"2,701,301","207,172,841",76.95,77.5,76.4,76.5,-0.45,765
2017-06-01,"2,221,692","170,334,430",76.5,76.9,76.5,76.9,+0.40,782
2017-06-02,"3,540,934","273,287,776",77.3,77.3,77.05,77.2,+0.30,733
2017-06-03,"2,052,295","158,709,516",77.25,77.4,77.25,77.4,+0.20,541
2017-06-05,"3,281,752","254,540,406",77.35,78.0,77.25,78.0,+0.60,849
2017-06-06,"1,203,007","93,684,346",77.95,77.95,77.7,77.95,-0.05,618
